,path,cat/dog,breed,dataset,train/test
0,images/boxer_60.jpg,dog,9,oxford,test
1,images/boxer_48.jpg,dog,9,oxford,test
2,images/boxer_59.jpg,dog,9,oxford,test
3,images/boxer_78.jpg,dog,9,oxford,test
4,images/boxer_94.jpg,dog,9,oxford,test
5,images/boxer_185.jpg,dog,9,oxford,test
6,images/boxer_56.jpg,dog,9,oxford,test
7,images/boxer_63.jpg,dog,9,oxford,test
8,images/boxer_159.jpg,dog,9,oxford,test
9,images/boxer_170.jpg,dog,9,oxford,test
10,images/boxer_49.jpg,dog,9,oxford,test
11,images/boxer_91.jpg,dog,9,oxford,test
12,images/boxer_22.jpg,dog,9,oxford,test
13,images/boxer_113.jpg,dog,9,oxford,test
14,images/boxer_24.jpg,dog,9,oxford,test
15,images/boxer_121.jpg,dog,9,oxford,test
16,images/boxer_6.jpg,dog,9,oxford,test
17,images/boxer_137.jpg,dog,9,oxford,test
18,images/boxer_119.jpg,dog,9,oxford,test
19,images/boxer_13.jpg,dog,9,oxford,test
20,images/boxer_80.jpg,dog,9,oxford,test
21,images/boxer_117.jpg,dog,9,oxford,test
22,images/boxer_42.jpg,dog,9,oxford,test
23,images/boxer_175.jpg,dog,9,oxford,test
24,images/boxer_104.jpg,dog,9,oxford,test
25,images/boxer_118.jpg,dog,9,oxford,test
26,images/boxer_17.jpg,dog,9,oxford,test
27,images/boxer_144.jpg,dog,9,oxford,test
28,images/boxer_154.jpg,dog,9,oxford,test
29,images/boxer_71.jpg,dog,9,oxford,test
30,images/boxer_189.jpg,dog,9,oxford,test
31,images/boxer_41.jpg,dog,9,oxford,test
32,images/boxer_79.jpg,dog,9,oxford,test
33,images/boxer_34.jpg,dog,9,oxford,test
34,images/boxer_66.jpg,dog,9,oxford,test
35,images/boxer_64.jpg,dog,9,oxford,test
36,images/boxer_124.jpg,dog,9,oxford,test
37,images/boxer_88.jpg,dog,9,oxford,test
38,images/boxer_176.jpg,dog,9,oxford,test
39,images/boxer_183.jpg,dog,9,oxford,train
40,images/boxer_103.jpg,dog,9,oxford,train
41,images/boxer_55.jpg,dog,9,oxford,train
42,images/boxer_84.jpg,dog,9,oxford,train
43,images/boxer_172.jpg,dog,9,oxford,train
44,images/boxer_162.jpg,dog,9,oxford,train
45,images/boxer_125.jpg,dog,9,oxford,train
46,images/boxer_38.jpg,dog,9,oxford,train
47,images/boxer_174.jpg,dog,9,oxford,train
48,images/boxer_40.jpg,dog,9,oxford,train
49,images/boxer_1.jpg,dog,9,oxford,train
50,images/boxer_93.jpg,dog,9,oxford,train
51,images/boxer_106.jpg,dog,9,oxford,train
52,images/boxer_70.jpg,dog,9,oxford,train
53,images/boxer_97.jpg,dog,9,oxford,train
54,images/boxer_191.jpg,dog,9,oxford,train
55,images/boxer_37.jpg,dog,9,oxford,train
56,images/boxer_133.jpg,dog,9,oxford,train
57,images/boxer_184.jpg,dog,9,oxford,train
58,images/boxer_131.jpg,dog,9,oxford,train
59,images/boxer_160.jpg,dog,9,oxford,train
60,images/boxer_190.jpg,dog,9,oxford,train
61,images/boxer_74.jpg,dog,9,oxford,train
